#V																			     
         -0.05505013          1.00015000          1.00015000              -0.05505500          1.00000000          0.00015000	-0.055055   1.00015   0.00172
         -0.05320813          0.99936000          0.99936000              -0.05321300          1.00000000         -0.00064000	-0.053213   0.99936   0.00112
         -0.05134913          0.99801000          0.99801000              -0.05135400          1.00000000         -0.00199000	-0.051354   0.99801   0.00099
         -0.04972113          1.00006000          1.00006000              -0.04972600          1.00000000          0.00006000	-0.049726   1.00006   0.00182
         -0.04815013          0.99932000          0.99932000              -0.04815500          1.00000000         -0.00068000	-0.048155   0.99932   0.00103
         -0.04665913          1.00123000          1.00123000              -0.04666400          1.00000000          0.00123000	-0.046664   1.00123   0.00142
         -0.04508113          1.00020000          1.00020000              -0.04508600          1.00000000          0.00020000	-0.045086   1.00020   0.00157
         -0.04359713          0.99945000          0.99945000              -0.04360200          1.00000000         -0.00055000	-0.043602   0.99945   0.00140
         -0.04213813          0.99895000          0.99895000              -0.04214300          1.00000000         -0.00105000	-0.042143   0.99895   0.00098
         -0.04053413          0.99837000          0.99837000              -0.04053900          1.00000000         -0.00163000	-0.040539   0.99837   0.00157
         -0.03907613          1.00010000          1.00010000              -0.03908100          1.00000000          0.00010000	-0.039081   1.00010   0.00128
         -0.03761813          1.00029000          1.00029000              -0.03762300          1.00000000          0.00029000	-0.037623   1.00029   0.00174
         -0.03615913          1.00251000          1.00251000              -0.03616400          1.00000000          0.00251000	-0.036164   1.00251   0.00109
         -0.03470113          1.00106000          1.00106000              -0.03470600          1.00000000          0.00106000	-0.034706   1.00106   0.00133
         -0.03324213          1.00073000          1.00073000              -0.03324700          1.00000000          0.00073000	-0.033247   1.00073   0.00133
         -0.03163713          1.00053000          1.00053000              -0.03164200          1.00000000          0.00053000	-0.031642   1.00053   0.00111
         -0.03017913          1.00068000          1.00068000              -0.03018400          1.00000000          0.00068000	-0.030184   1.00068   0.00158
         -0.02857513          0.99974000          0.99974000              -0.02858000          0.99993492         -0.00019492	-0.028580   0.99974   0.00103
         -0.02697113          1.00029000          1.00029000              -0.02697600          0.99907252          0.00121748	-0.026976   1.00029   0.00150
         -0.02551313          1.00060000          1.00060000              -0.02551800          0.99778210          0.00281790	-0.025518   1.00060   0.00121
         -0.02405513          0.99615000          0.99615000              -0.02406000          0.99616980         -0.00001980	-0.024060   0.99615   0.00156
         -0.02259713          0.99659000          0.99659000              -0.02260200          0.99433660          0.00225340	-0.022602   0.99659   0.00179
         -0.02113913          0.99124000          0.99124000              -0.02114400          0.99236348         -0.00112348	-0.021144   0.99124   0.00200
         -0.01968113          0.98977000          0.98977000              -0.01968600          0.99031945         -0.00054945	-0.019686   0.98977   0.00205
         -0.01822313          0.98818000          0.98818000              -0.01822800          0.98826456         -0.00008456	-0.018228   0.98818   0.00128
         -0.01676313          0.98565000          0.98565000              -0.01676800          0.98624843         -0.00059843	-0.016768   0.98565   0.00156
         -0.01518313          0.98473000          0.98473000              -0.01518800          0.98416562          0.00056438	-0.015188   0.98473   0.00187
         -0.01369913          0.98061000          0.98061000              -0.01370400          0.98234454         -0.00173454	-0.013704   0.98061   0.00147
         -0.01222813          0.98021000          0.98021000              -0.01223300          0.98070022         -0.00049022	-0.012233   0.98021   0.00122
         -0.01077013          0.98062000          0.98062000              -0.01077500          0.97925074          0.00136926	-0.010775   0.98062   0.00130
         -0.00918613          0.97600000          0.97600000              -0.00919100          0.97789596         -0.00189596	-0.009191   0.97600   0.00142
         -0.00756313          0.97617000          0.97617000              -0.00756800          0.97675366         -0.00058366	-0.007568   0.97617   0.00146
         -0.00610613          0.97442000          0.97442000              -0.00611100          0.97593919         -0.00151919	-0.006111   0.97442   0.00094
         -0.00464813          0.97479000          0.97479000              -0.00465300          0.97531698         -0.00052698	-0.004653   0.97479   0.00095
         -0.00293313          0.97733000          0.97733000              -0.00293800          0.97481758          0.00251242	-0.002938   0.97733   0.00084
         -0.00144213          0.97480000          0.97480000              -0.00144700          0.97457387          0.00022613	-0.001447   0.97480   0.00111
          0.00001487          0.97759000          0.97759000               0.00001000          0.97449726          0.00309274	 0.000010   0.97759   0.00145
          0.00155487          0.97585000          0.97585000               0.00155000          0.97458637          0.00126363	 0.001550   0.97585   0.00154
          0.00307487          0.97521000          0.97521000               0.00307000          0.97484976          0.00036024	 0.003070   0.97521   0.00162
          0.00464687          0.97617000          0.97617000               0.00464200          0.97531653          0.00085347	 0.004642   0.97617   0.00136
          0.00613587          0.97540000          0.97540000               0.00613100          0.97595386         -0.00055386	 0.006131   0.97540   0.00140
          0.00772087          0.97341000          0.97341000               0.00771600          0.97685374         -0.00344374	 0.007716   0.97341   0.00132
          0.00934287          0.97872000          0.97872000               0.00933800          0.97801952          0.00070048	 0.009338   0.97872   0.00223
          0.01089087          0.97916000          0.97916000               0.01088600          0.97936357         -0.00020357	 0.010886   0.97916   0.00135
          0.01254987          0.98229000          0.98229000               0.01254500          0.98104493          0.00124507	 0.012545   0.98229   0.00205
          0.01410887          0.98324000          0.98324000               0.01410400          0.98283225          0.00040775	 0.014104   0.98324   0.00148
          0.01560987          0.98580000          0.98580000               0.01560500          0.98471528          0.00108472	 0.015605   0.98580   0.00153
          0.01706687          0.98461000          0.98461000               0.01706200          0.98666212         -0.00205212	 0.017062   0.98461   0.00113
          0.01852487          0.98661000          0.98661000               0.01852000          0.98868806         -0.00207806	 0.018520   0.98661   0.00172
          0.01998187          0.99159000          0.99159000               0.01997700          0.99074383          0.00084617	 0.019977   0.99159   0.00108
          0.02144087          0.99106000          0.99106000               0.02143600          0.99277979         -0.00171979	 0.021436   0.99106   0.00121
          0.02289887          0.99488000          0.99488000               0.02289400          0.99472995          0.00015005	 0.022894   0.99488   0.00198
          0.02435687          0.99576000          0.99576000               0.02435200          0.99652457         -0.00076457	 0.024352   0.99576   0.00144
          0.02602587          1.00030000          1.00030000               0.02602100          0.99827873          0.00202127	 0.026021   1.00030   0.00102
